# label,label_in_file,type,file
e,eccentricity,float,.setup
a,semi_major_axis,float,.setup
mlr,wind_mass_rate,float,.in
vw,wind_velocity,float,.in
Rinj,wind_inject_radius,float,.in
Tw,wind_temperature,float,.in
iwr,iwind_resolution,int,.in
wss,wind_shell_spacing,float,.in
m1,primary_mass,float,.setup
m2,secondary_mass,float,.setup
racc2,secondary_racc,float,.setup
icompstar,icompanion_star,int,.setup
subst,subst,int,.setup
m3,tertiary_mass,float,.setup
racc3,tertiary_racc,float,.setup
incl,inclination,float,setup
eIn,binary2_e,float,.setup
aIn,binary2_a,float,.setup
gamma,wind_gamma,float,.setup
mu,mu,float,.in
icooling,icooling,int,.in
icoolmeth,icool_method,int,.in
HIexcit,excitation_HI,int,.in
eos,ieos,int,.in
bound,outer_boundary,float,.in
f_acc,f_acc,float,.in
Tfloor,Tfloor,float,.in
